Time	"Time Code"	"Country Name"	"Country Code"	"Annual freshwater withdrawals, total (billion cubic meters) [ER.H2O.FWTL.K3]"	"Children out of school, primary [SE.PRM.UNER]"	"CO2 emissions (kt) [EN.ATM.CO2E.KT]"	"Electricity production from oil, gas and coal sources (% of total) [EG.ELC.FOSL.ZS]"	"Electricity production from renewable sources, excluding hydroelectric (% of total) [EG.ELC.RNWX.ZS]"	"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]"	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter) [EN.ATM.PM25.MC.M3]"	"Population, total [SP.POP.TOTL]"	"Rural population (% of total population) [SP.RUR.TOTL.ZS]"	"Surface area (sq. km) [AG.SRF.TOTL.K2]"	"Total greenhouse gas emissions (kt of CO2 equivalent) [EN.ATM.GHGT.KT.CE]"	"Urban population [SP.URB.TOTL]"	"Women who believe a husband is justified in beating his wife when she refuses sex with him (%) [SG.VAW.REFU.ZS]"
2013	"YR2013"	"Tajikistan"	"TJK"	""	"16590"	"3479.983"	"0.25708442886357"	"0"	"70.477"	"48.1888733415899"	"8177809"	"73.411"	"142550"	""	"2174398"	""
2013	"YR2013"	"Tanzania"	"TZA"	""	"1851249"	"11177.016"	"70.4931829658307"	"0.60595859282949"	"63.348"	"23.7239874374992"	"50636595"	"69.804"	"947300"	""	"15290226"	""
2013	"YR2013"	"Thailand"	"THA"	""	""	"300088.945"	"91.7220699812812"	"4.90502708063163"	"74.678"	"25.0787273970158"	"68143065"	"53.807"	"513120"	""	"31477326"	""
2013	"YR2013"	"Timor-Leste"	"TLS"	""	"18559"	"440.04"	""	""	"68.033"	"18.9312529569337"	"1184366"	"71.221"	"14870"	""	"340849"	""
2013	"YR2013"	"Togo"	"TGO"	""	""	"2658.575"	"18.2795698924731"	"5.37634408602151"	"59.174"	"38.6681646257194"	"7042948"	"60.939"	"56790"	""	"2751046"	""
2013	"YR2013"	"Tonga"	"TON"	""	"621"	"113.677"	""	""	"72.588"	"3.98351290278645"	"105328"	"76.618"	"750"	""	"24628"	""
2013	"YR2013"	"Trinidad and Tobago"	"TTO"	""	""	"46541.564"	"100"	"0"	"70.28"	"13.4822476164159"	"1348248"	"46.47"	"5130"	""	"721717"	""
2013	"YR2013"	"Tunisia"	"TUN"	""	"3675"	"27667.515"	"96.5127033349655"	"2.00750775257059"	"75.167"	"35.8735369696627"	"11014558"	"32.505"	"163610"	""	"7434276"	""
2013	"YR2013"	"Turkey"	"TUR"	""	"337098"	"324771.522"	"71.0548231551421"	"4.08071487462212"	"74.977"	"33.0576925821188"	"75787333"	"27.469"	"785350"	""	"54969310"	""
2013	"YR2013"	"Turkmenistan"	"TKM"	""	""	"66735.733"	"100"	"0"	"67.375"	"28.3954351869737"	"5366277"	"50.459"	"488100"	""	"2658507"	""
2013	"YR2013"	"Turks and Caicos Islands"	"TCA"	""	""	"198.018"	""	""	""	""	"33108"	"8.517"	"950"	""	"30288"	""
2013	"YR2013"	"Tuvalu"	"TUV"	""	""	"11.001"	""	""	""	""	"10819"	"42.186"	"30"	""	"6255"	""
2013	"YR2013"	"Uganda"	"UGA"	""	"714319"	"4869.776"	""	""	"58.819"	"62.3380022342952"	"37553726"	"79.042"	"241550"	""	"7870510"	""
2013	"YR2013"	"Ukraine"	"UKR"	""	"92483"	"271875.047"	"49.2426667217329"	"0.676282613858115"	"71.159512195122"	"18.5549453709654"	"45489600"	"31.125"	"603550"	""	"31330962"	""
2013	"YR2013"	"United Arab Emirates"	"ARE"	""	"22078"	"170706.184"	"99.905857543635"	"0.0941424563649715"	"76.798"	"69.4726950357522"	"9006263"	"14.934"	"83600"	""	"7661268"	""
2013	"YR2013"	"United Kingdom"	"GBR"	""	"4676"	"458250.322"	"64.4631509217883"	"13.6651728823286"	"81.0048780487805"	"12.0339861486373"	"64128226"	"17.898"	"243610"	""	"52650556"	""
2013	"YR2013"	"United States"	"USA"	""	""	"5159160.972"	"67.8246484698098"	"6.32000921832263"	"78.7414634146342"	"8.53105024208616"	"316234505"	"18.701"	"9831510"	""	"257095490"	""
2013	"YR2013"	"Uruguay"	"URY"	""	"1500"	"7587.023"	"19.1219344880809"	"10.4870519636426"	"77.04"	"11.5400303295954"	"3408005"	"5.157"	"176220"	""	"3232254"	""
2013	"YR2013"	"Uzbekistan"	"UZB"	""	"95000"	"103354.395"	"78.6715867158672"	"0"	"70.844"	"36.9857505229691"	"30243200"	"49.05"	"447400"	""	"15408910"	""
2013	"YR2013"	"Vanuatu"	"VUT"	""	""	"106.343"	""	""	"71.481"	"8.26367780033209"	"253142"	"75.239"	"12190"	""	"62680"	""
2013	"YR2013"	"Venezuela, RB"	"VEN"	""	"244940"	"183922.052"	"32.1654758038324"	"0"	"74.035"	"24.7650745312984"	"30317848"	"11.867"	"912050"	""	"26720029"	""
2013	"YR2013"	"Vietnam"	"VNM"	""	"127071"	"147230.05"	"58.3379979848705"	"0.115949909639036"	"75.663"	"27.815889017302"	"91497725"	"67.571"	"330972"	""	"29671797"	""
2013	"YR2013"	"Virgin Islands (U.S.)"	"VIR"	""	""	""	""	""	"78.8682926829268"	"16.6839418704675"	"108044"	"4.93000000000001"	"350"	""	"102717"	""
2013	"YR2013"	"West Bank and Gaza"	"PSE"	""	"32923"	"2438.555"	""	""	"72.954"	"18.6798595662879"	"4169506"	"25.137"	"6020"	""	"3121417"	""
2013	"YR2013"	"Yemen, Rep."	"YEM"	""	"599564"	"25496.651"	"100"	"0"	"64.291"	"59.3994496386536"	"25576322"	"66.441"	"527970"	""	"8583158"	"32.4"
2013	"YR2013"	"Zambia"	"ZMB"	""	"363385"	"3956.693"	"0.142857142857143"	"0"	"59.982"	"27.6507332029129"	"15153210"	"59.135"	"752610"	""	"6192359"	""
2013	"YR2013"	"Zimbabwe"	"ZWE"	""	"398579"	"11675.728"	"46.0606060606061"	"1.73458725182863"	"58.053"	"23.4483755520863"	"15054506"	"67.346"	"390760"	""	"4915898"	""
