Time	"Time Code"	"Country Name"	"Country Code"	"Children out of school"	"CO2 emissions (kt)"	"Non-renewable lectricity production (% of total)"	"Renewable electricity production excluding hydroelectric (% of total)"	"Life expectancy (years)"	"Population"	"Rural population"	"Urban population"	"Surface area (sq. km)"
2013	"YR2013"	"Peru"	"PER"	"145229"	"57153.862"	"46.1197441640306"	"2.66170183422976"	"74.298"	"30565716"	"7033477"	"23532239"	"1285220"
2013	"YR2013"	"Philippines"	"PHL"	"325630"	"98128.92"	"73.5564531129594"	"13.0922328807164"	"68.68"	"98481032"	"53275284"	"45205748"	"300000"
2013	"YR2013"	"Poland"	"POL"	"94550"	"302278.144"	"89.5062857421566"	"8.91831583568058"	"77"	"38040196"	"15014846"	"23025350"	"312680"
2013	"YR2013"	"Portugal"	"PRT"	"6514"	"45426.796"	"41.0891676890806"	"31.1493252067915"	"80.7219512195122"	"10457295"	"3936962"	"6520333"	"92220"
2013	"YR2013"	"Puerto Rico"	"PRI"	"48769"	""	""	""	"79.1673902439024"	"3593077"	"226867"	"3366210"	"8870"
2013	"YR2013"	"Qatar"	"QAT"	"6885"	"85023.062"	"100"	"0"	"77.739"	"2250473"	"27343"	"2223130"	"11610"
2013	"YR2013"	"Romania"	"ROU"	""	"70945.449"	"45.7308323083231"	"8.86975536422031"	"75.0634146341463"	"19983693"	"9205089"	"10778604"	"238390"
2013	"YR2013"	"Russian Federation"	"RUS"	"140587"	"1778561.006"	"66.2408553795473"	"0.0459535793205111"	"70.5787804878049"	"143506911"	"37508401"	"105998510"	"17098250"
2013	"YR2013"	"Rwanda"	"RWA"	""	"803.073"	""	""	"65.598"	"11065151"	"9189940"	"1875211"	"26340"
2013	"YR2013"	"Samoa"	"WSM"	""	"198.018"	""	""	"74.206"	"190757"	"153779"	"36978"	"2840"
2013	"YR2013"	"San Marino"	"SMR"	""	""	""	""	""	"32303"	"1173"	"31130"	"60"
2013	"YR2013"	"Sao Tome and Principe"	"STP"	"2894"	"113.677"	""	""	"66.241"	"187045"	"59465"	"127580"	"960"
2013	"YR2013"	"Saudi Arabia"	"SAU"	"68358"	"541047.515"	"99.9996479083999"	"0.000352091600150695"	"74.066"	"29944476"	"5168417"	"24776059"	"2149690"
2013	"YR2013"	"Senegal"	"SEN"	"585576"	"8423.099"	"87.7843302443134"	"1.76916596461668"	"65.914"	"14120320"	"7763493"	"6356827"	"196710"
2013	"YR2013"	"Serbia"	"SRB"	"10450"	"44884.08"	"73.9312208427869"	"0.0535345552808015"	"75.1853658536585"	"7164132"	"3190260"	"3973872"	"88360"
2013	"YR2013"	"Seychelles"	"SYC"	""	"403.37"	""	""	"73.119512195122"	"89949"	"40894"	"49055"	"460"
2013	"YR2013"	"Sierra Leone"	"SLE"	"14945"	"1191.775"	""	""	"50.401"	"6922079"	"4150755"	"2771324"	"72300"
2013	"YR2013"	"Singapore"	"SGP"	""	"55676.061"	"97.135650107361"	"1.54683232921262"	"82.2463414634147"	"5399162"	"0"	"5399162"	"717"
2013	"YR2013"	"Sint Maarten (Dutch part)"	"SXM"	""	"715.065"	""	""	""	"36607"	"0"	"36607"	"34"
2013	"YR2013"	"Slovak Republic"	"SVK"	""	"33091.008"	"22.2627481237287"	"5.27810899908817"	"76.4121951219512"	"5413393"	"2482582"	"2930811"	"49036"
2013	"YR2013"	"Slovenia"	"SVN"	"2332"	"14150.953"	"34.1071541526978"	"3.04257068758302"	"80.3219512195122"	"2059953"	"961339"	"1098614"	"20270"
2013	"YR2013"	"Solomon Islands"	"SLB"	"25971"	"201.685"	""	""	"69.771"	"563513"	"442735"	"120778"	"28900"
2013	"YR2013"	"Somalia"	"SOM"	""	"608.722"	""	""	"55.072"	"13132349"	"7601398"	"5530951"	"637660"
2013	"YR2013"	"South Africa"	"ZAF"	""	"466376.394"	"93.7426932920471"	"0.151268602483491"	"59.83"	"53767396"	"19467561"	"34299835"	"1219090"
2013	"YR2013"	"South Sudan"	"SSD"	""	"1448.465"	"99.5762711864407"	"0.423728813559322"	"55.294"	"11177490"	"9119155"	"2058335"	"644330"
