Time	"Time Code"	"Country Name"	"Country Code"	"Children out of school"	"CO2"	"NR electricity"	"Life expectancy"	"Population"	"Urban population"	"Area"	"GDP"	"Compulsory education"	"Labor force"	"Agricultural land"
2013	"YR2013"	"Thailand"	"THA"	""	"4.40380756280922"	"91.7220699812812"	"74.678"	"68143065"	"46.193"	"510890"	"6168.39488117145"	"9"	"71.2379989624023"	"43.2774178394566"
2013	"YR2013"	"Timor-Leste"	"TLS"	"9.45932006835938"	"0.371540554186797"	""	"68.033"	"1184366"	"28.779"	"14870"	"4770.32721360116"	"9"	"40.0320014953613"	"25.5548083389375"
2013	"YR2013"	"Togo"	"TGO"	""	"0.377480424390468"	"18.2795698924731"	"59.174"	"7042948"	"39.061"	"54390"	"579.43480503892"	"10"	"77.9769973754883"	"70.2334988049274"
2013	"YR2013"	"Tonga"	"TON"	"3.94963002204895"	"1.07926667173021"	""	"72.588"	"105328"	"23.382"	"720"	"4278.88456700982"	"8"	"59.8250007629395"	"45.8333333333333"
2013	"YR2013"	"Trinidad and Tobago"	"TTO"	""	"34.5200319229103"	"100"	"70.28"	"1348248"	"53.53"	"5130"	"19713.3792880131"	"6"	"63.2680015563965"	"10.5263157894737"
2013	"YR2013"	"Tunisia"	"TUN"	"0.384660005569458"	"2.51190424527248"	"96.5127033349655"	"75.167"	"11014558"	"67.495"	"155360"	"4199.08467815722"	"9"	"47.4930000305176"	"63.9997425334707"
2013	"YR2013"	"Turkey"	"TUR"	"6.46437978744507"	"4.28530084308416"	"71.0548231551421"	"74.977"	"75787333"	"72.531"	"769630"	"12542.7215294501"	"12"	"49.6500015258789"	"49.9239894494757"
2013	"YR2013"	"Turkmenistan"	"TKM"	""	"12.4361327229288"	"100"	"67.375"	"5366277"	"49.541"	"469930"	"7304.42052462986"	"10"	"65.0370025634766"	"72.0064690485817"
2013	"YR2013"	"Turks and Caicos Islands"	"TCA"	""	"5.98097136643711"	""	""	"33108"	"91.483"	"950"	""	"13"	""	"1.05263157894737"
2013	"YR2013"	"Tuvalu"	"TUV"	""	"1.01682225714022"	""	""	"10819"	"57.814"	"30"	"3466.96756379636"	"8"	""	"60"
2013	"YR2013"	"Uganda"	"UGA"	"9.00201034545898"	"0.129674908955772"	""	"58.819"	"37553726"	"20.958"	"200520"	"655.049534689092"	"7"	"70.9800033569336"	"71.8880909634949"
2013	"YR2013"	"Ukraine"	"UKR"	"5.73918008804321"	"5.97664184780697"	"49.2426667217329"	"71.159512195122"	"45489600"	"68.875"	"579320"	"4029.71550372131"	"11"	"55.5320014953613"	"71.2473244493544"
2013	"YR2013"	"United Arab Emirates"	"ARE"	"5.88297986984253"	"18.9541637858011"	"99.905857543635"	"76.798"	"9006263"	"85.066"	"83600"	"43315.1414921653"	"6"	"81.4919967651367"	"4.57296650717703"
2013	"YR2013"	"United Kingdom"	"GBR"	"0.108599998056889"	"7.14584435876957"	"64.4631509217883"	"81.0048780487805"	"64128226"	"82.102"	"241930"	"42724.0678844007"	"11"	"62.1240005493164"	"71.3024428553714"
2013	"YR2013"	"United States"	"USA"	""	"16.314351819388"	"67.8246484698098"	"78.7414634146342"	"316234505"	"81.299"	"9147420"	"52782.086508871"	"13"	"62.5169982910156"	"44.3667941343024"
2013	"YR2013"	"Uruguay"	"URY"	"0.50313001871109"	"2.22623587700135"	"19.1219344880809"	"77.04"	"3408005"	"94.843"	"175020"	"16881.2056763151"	"14"	"64.875"	"82.6362701405554"
2013	"YR2013"	"Uzbekistan"	"UZB"	"4.66763019561768"	"3.41744243334039"	"78.6715867158672"	"70.844"	"30243200"	"50.95"	"425400"	"1907.55123335561"	"12"	"64.9160003662109"	"62.9290079924777"
2013	"YR2013"	"Vanuatu"	"VUT"	""	"0.420092280222168"	""	"71.481"	"253142"	"24.761"	"12190"	"3167.34305591771"	""	"70.3939971923828"	"15.3404429860541"
